ticker,outcome,venue,primary_exchange,con_id,candidates,detail,attempts,elapsed_s,unexpected_venue
HYXU,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
IAUF,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
IBCE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
IBDD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
IBDO,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
IBDP,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
IBDQ,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.010,no
IBET,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
IBHC,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
IBHD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
IBHE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
IBIA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
IBIB,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
IBML,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.010,no
IBMM,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
IBMN,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
IBTD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.001,no
IBTE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
IDAT,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.002,no
IDHD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.002,no
IDLB,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
IDME,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
